,0
multi_agent_mape,19.21498931429092
multi_agent_rmse,3663734.631895825
multi_agent_mae,2778810.573709478
multi_agent_runtime_sec,0.43813902000001137
naive_mape,23.671900327539813
naive_rmse,4350873.53710419
naive_mae,3407102.7108033537
moving_avg_mape,21.279998024727224
moving_avg_rmse,3819241.252219192
moving_avg_mae,2993612.4988850276
moving_avg_20_mape,20.55128275937165
moving_avg_20_rmse,3667608.7589776604
moving_avg_20_mae,2857665.752393347
ewma_mape,20.770855317313657
ewma_rmse,3679396.2361901556
ewma_mae,2900157.789533257
seasonal_naive_mape,29.927880604525612
seasonal_naive_rmse,5436373.335598786
seasonal_naive_mae,4160825.8999987724
trend_agent_contribution,14339.881718779992
seasonal_agent_contribution,0.0
residual_agent_contribution,51921.01749460986
